id_observation;annee;region;milieu_dominant;population;taux_urbanisation_pct;nombre_menages;taille_menage_moy;part_menages_bois_chauffe_pct;part_menages_charbon_pct;part_menages_petrole_pct;part_menages_gaz_pct;part_menages_electricite_pct;taux_foyers_ameliores_pct;cons_bois_chauffe_m3_par_hab;cons_charbon_m3_ebr_par_hab;prix_bois_ariary_stere;prix_charbon_ariary_sac;demande_bois_chauffe_m3_ebr;demande_charbon_m3_ebr;demande_totale_m3_ebr;taux_pauvrete_estime_pct;source_principale;statut_donnee;commentaire_collecte
DEM-2018-14;2018;Sofia;rural;1508259;11.89;378052;3.99;76.63;23.51;0.4;0;0.08;17.79;0.5928;0.668;17572;5972;850846.21;291215.28;1142061.49;76.07;INSTAT_RGPH3_2018 + simulation_utilisateur;historique_synthetique;donnee agregee
DEM-2029-16;2029;Melaky;rural;448828;16.2;105937;4.24;78.27;18.03;0.52;1.58;1.88;25.23;0.5589;0.7068;48376;15444;211349.71;62394.45;273744.16;76,61;projection_scenario_tendanciel;projection_scenario;
DEM-2029-22;2029;SAVA;rural;1547139;24.45;454418;3.4;69.28;26.56;0;1.58;2.01;27.03;0.5138;0.7978;43364;14292;575058.14;345295.56;920353.7;76.05;projection_scenario_tendanciel;projection_scenario;source secondaire
DEM-2023-12;2023;Alaotra-Mangoro;rural;1442048;16.25;350131;4.12;70.05;27.76;0.31;0.8;0.74;20.94;0.5651;0.7138;26786;8649;681371.21;340551.53;1021922.74;78.52;estimation_synthetique_calibree;historique_synthetique;
DEM-2008-17;2008;Atsimo-Andrefana;rural;1 339 269;9.61;295113;4.54;78.45;20.75;0.44;0;0;9.41;0.6181;0.6528;7850;2710;546148.63;150031.03;696179.66;79.74;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2004-19;2004;Anosy;rural;524551;9.7;115181;4.55;89.29;10.29;0.84;0;0;6.74;0.6218;0.6574;5209;1688;195553.59;22499.14;218052.73;73.34;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2003-01;2003;Analamanga;mixte;2255546;29.68;525463;4.29;35.49;61.47;0.49;1.34;0.78;12.44;0.5059;0.8836;4547;1530;244546.04;762826.08;1007372.12;61.17;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2030-05;2030;Haute Matsiatra;rural;1939617;22.7;416358;4.66;67.71;27.49;0.27;1.91;2.58;25.91;0.5244;0.7797;46495;16812;696199.84;436966.45;1133166.29;71.04;projection_scenario_tendanciel;projection_scenario;source secondaire
DEM-2000-17;2000;Atsimo-Andrefana;rural;1054809;5.42;224911;4.69;81.08;18.47;0.58;0;0;3.65;0.6501;0.6105;3931;1372;281892.33;63701.83;345594.16;79.31;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2016-10;2016;Atsinanana;mixte;1402892;26.12;356772;3.93;67.34;31.67;0.33;0.25;0.09;19.24;0.5158;0.8302;15378;5095;615249.88;441675.23;1056925.11;74.05;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2002-20;2002;Menabe;rural;411003;8.9;89021;4.62;80.79;18.31;0.69;0;0;7.96;0.6242;0.6463;4459;1563;118897.04;27884.48;146781.52;72.98;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2015-08;2015;Ihorombe;rural;379638;7.67;82017;4.63;75.13;23.51;0.91;0;0;15.81;0.6182;0.6217;15228;4874;214636.06;66114.36;280750.42;76.74;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2006-18;2006;Androy;rural;614659;8.17;129937;4.73;95.73;3.55;0.83;0;0;7.08;0.6492;0.596;7782;2197;287836.12;9340.81;297176.93;81.13;INSTAT;historique_synthetique;
DEM-2004-18;2004;Androy;rural;577317;3;122278;4.72;96;2.8;0.85;0;0;5.51;0.6602;0.5795;6092;1792;231057.1;6143.32;237200.42;;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2024-09;2024;Atsimo-Atsinanana;rural;1202373;9.85;236330;5.09;88.9;9.25;0.85;0.75;0.84;22.84;0.5955;0.6377;30124;9732;735283.67;82776.78;818060.45;78.35;estimation_synthetique_calibree;historique_synthetique;
DEM-2024-02;2024;Vakinankaratra;rural;2432257;17.71;562294;4.33;77.52;20.82;0.38;0.85;1,10;23.33;0.5539;0.7269;28217;10033;1216316.24;419713.68;1636029.92;79.85;estimation_synthetique_calibree;historique_synthetique;
DEM-2024-10;2024;Atsinanana;mixte;1757422;31.1;455593;3.86;64.31;33.84;0.17;1.12;1.15;24.89;0.4823;0.8772;28030;9060;646259.81;588385.81;1234645.62;72.83;estimation_synthetique_calibree;historique_synthetique;donnee agregee
DEM-2027-09;2027;Atsimo-Atsinanana;rural;1309207;10.83;262173;4.99;86.55;9.75;0.88;1.21;1.51;25.18;0.5868;0.6458;39315;12244;714119.36;89206.68;803326.04;76.47;projection_scenario_tendanciel;projection_scenario;donnee agregee
DEM-2002-17;2002;Atsimo-Andrefana;rural;1127139;6.76;246584;4.57;80.53;18.51;0.51;0;0;4.71;0.641;0.6252;4733;1519;334391.83;80036.01;414427.84;79.38;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2025-21;2025;DIANA;mixte;1124562;38.49;333498;3.37;42.5;52.92;0.16;1.46;2.58;34.22;0.433;0.9426;30489;10298;232855.59;646256.32;879111.91;63.25;projection_scenario_tendanciel;projection_scenario;
DEM-2026-07;2026;Vatovavy-Fitovinany;rural;1770872;12.73;395388;4.48;85.75;10.86;1.33;1.15;1.22;21.89;0.582;0.672;37281;11072;964796.71;141898.98;1106695.69;74.71;projection_scenario_tendanciel;projection_scenario;
DEM-2016-03;2016;Itasy;rural;854212;15.44;192381;4.44;85.38;14.26;0.39;0.05;0;16.45;0.576;0.7111;15509;4471;504902.41;103442.98;608345.39;72.51;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2008-07;2008;Vatovavy-Fitovinany;rural;1120371;4.95;233634;4.8;91.99;7.02;1.53;0;0;9.6;0.6428;0.5978;8100;2717;559184.17;39919.38;599103.55;76.64;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2012-10;2012;Atsinanana;rural;1248894;24.7;312491;4.0;69.31;30.21;0.38;0.03;0;17.98;0.5249;0.816;10550;3367;470003.83;305785.72;775789.55;73.08;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
