id_observation;annee;region;superficie_foret_hors_ap_ha;superficie_foret_humide_ha;superficie_foret_seche_ha;superficie_foret_epineuse_ha;superficie_mangrove_ha;superficie_pin_ha;superficie_eucalyptus_ha;reboisement_annuel_ha;taux_deforestation_pct;rendement_carbonisation_pct;part_carbonisation_amelioree_pct;nombre_centres_carbonisation;production_bois_feu_m3_ebr;production_bois_charbon_m3_ebr;production_charbon_tonnes;offre_totale_m3_ebr;volume_transporte_tonnes;distance_moyenne_marche_km;cout_transport_ariary_tonne_km;prix_producteur_charbon_ariary_sac;source_principale;statut_donnee;commentaire_collecte
OFF-2017-05;2017;Haute Matsiatra;59089.96;35 759;1282.23;0.0;0.0;19409.03;2 640;2310.27;0.454;15.09;21.23;0;189608.54;109920.0;10778.6;299528.54;42967.99;74.1;152.82;3512;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2013-10;2013;Atsinanana;155811.68;152409.46;0.0;0.0;0.0;0.0;3402.23;520.54;1.106;13.04;17.39;0;181087.91;179483.28;15212.63;360571.19;45070.18;53.9;97.64;2504;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2027-08;2027;Ihorombe;50572.84;43811.36;5409.28;0.0;0.0;202.83;1149.38;511.96;1.079;21.08;32.81;1;30185.65;33953.17;4652.09;64138.82;9248.13;74.4;ND;7913;projection_scenario_tendanciel;projection_scenario;a verifier
OFF-2006-19;2006;Anosy;210448.3;90901.12;5104.53;113742.37;0.0;0.0;700.27;123.01;0.63;9.4;9.76;0;137993.76;111742.27;6830.36;249736.03;30439.77;48.7;52.87;1488;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2028-17;2028;Atsimo-Andrefana;483318.69;0.0;114117.69;361258.96;3651.55;0.0;4290.49;1196.77;1.247;22.49;39.21;2;132055.41;136662.51;19976.33;268717.92;40150.56;55.2;349.91;9200;projection_scenario_tendanciel;projection_scenario;estimation
OFF-2029-15;2029;Betsiboka;26541.22;4610.14;17896.44;0.0;0.38;2080.02;1954.25;1162.69;0.828;22.91;35.36;1;28168.38;36639.96;5457.37;64808.33;9545.35;71.0;385.25;9612;projection_scenario_tendanciel;projection_scenario;estimation
OFF-2026-18;2026;Androy;128344.03;0.0;1886.04;125223.6;1.94;0.0;1 232;529.74;1.506;21.33;34.73;1;41516.16;45960.14;6372.97;87476.29;12698.75;82.9;298.35;-8564.0;projection_scenario_tendanciel;projection_scenario;donnee agregee
OFF-2001-10;2001;Atsinanana;169654.09;167292.18;0.0;0.0;0.0;0.0;2361.91;273.31;0.513;7.52;1.47;0;217526.83;225588.45;11020.22;443115.29;48191.41;53.7;41.19;961;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2000-10;2000;Atsinanana;170513.4;168212.1;0.0;0.0;0.0;0.0;2301.3;263.48;ND;7;0.91;0;181089.32;232755.37;10590.37;413844.69;41280.18;58.4;40;949;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2022-11;2022;Analanjirofo;301362.36;300437.13;68.34;0.0;0.0;128.53;728.35;430.59;1.53;17.68;26.26;0;171212.03;178415.85;20501.42;349627.88;;77.2;206.63;5794;estimation_synthetique_calibree;historique_synthetique;
OFF-2022-19;2022;Anosy;166956.65;72986.24;4416.8;87797.61;0.0;0.0;1755.99;610.47;1.463;18.29;27.28;0;61 742;70117.73;8334.8;131859.8;17948.11;46.4;;5500;estimation_synthetique_calibree;historique_synthetique;source secondaire
OFF-2006-17;2006;Atsimo-Andrefana;669285.65;0.0;144767.01;518972.63;3995.34;0.0;1550.67;210.39;0.426;8.65;10.81;0;345795.73;254726.74;14314.74;600522.47;73981.32;57.2;56.58;1419;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2019-22;2019;SAVA;306034.44;299624.48;5031.23;0.0;763.31;92.31;523.1;136.52;1.333;16.63;22.35;0;479890.83;357716.18;38671.17;837607.02;118090.71;66.0;158.19;4641;simulation_utilisateur + repartition_regionale;historique_synthetique;
